id,image,title,price,type,grape,country,region,abv,bottlesize
55,//cdn.shopify.com/s/files/1/0097/8128/0834/products/CasaBalagues_SalicornioMoscatel2021TheGoodWineShop_1024x1024.jpg?v=1664889370,"Casa Balaguer, Salicornio Moscatel 2021",19.00,White ,Moscatel,Spain,Alicante,13%,75cl
56,//cdn.shopify.com/s/files/1/0097/8128/0834/products/FrancoisMikulski_Pommard2017TheGoodWineShop_1024x1024.jpg?v=1664792040,"Francois Mikulski, Pommard 2017",81.00,Red ,Pinot Noir,France,Burgundy,13%,75cl
57,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Gant_Co_SurLieSemillonSauvignonBlanc2021TheGoodWineShop_1024x1024.jpg?v=1663764251,"Gant & Co, Sur Lie Semillon Sauvignon Blanc 2021",21.50,White ,Semillon,Australia,Margaret River,12.5%,75cl
58,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Gant_Co_FumeSauvignonBlanc2020TheGoodWineShop_1024x1024.jpg?v=1663762883,"Gant & Co, Fume Sauvignon Blanc 2020",21.50,White ,Sauvignon Blanc,Australia,Margaret River,12.5%,75cl
59,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Gant_Co_Chardonnay2020TheGoodWineShop_1024x1024.jpg?v=1663760253,"Gant & Co, Chardonnay 2020",23.50,White ,Chardonnay,Australia,Margaret River,12.5%,75cl
60,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Gant_Co_JeauneCabernetSauvignonMerlotMalbec2020TheGoodWineShop_1024x1024.jpg?v=1663754139,"Gant & Co, Jeune Cabernet Sauvignon Merlot Malbec 2020",21.50,Red ,Cabernet Sauvignon,Australia,Margaret River,12.5%,75cl
61,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Gant_Co_NoveauSemillonMerlotMuscat2021TheGoodWineShop_1024x1024.jpg?v=1663756997,"Gant & Co, Noveau Semillon Merlot Muscat 2021",21.50,Red ,Semillon,Australia,Margaret River,12%,75cl
62,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Gant_Co_CabernetSauvignonMalbec2020TheGoodWineShop_1024x1024.jpg?v=1663753222,"Gant & Co, Cabernet Sauvignon Malbec 2020",23.50,Red ,Cabernet Sauvignon,Australia,Margaret River,13%,75cl
63,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ManmeetsMountain_Malbec2021TheGoodWineShop_1024x1024.jpg?v=1662123806,"Man Meets Mountain, Malbec 2021",11.00,Red ,Malbec,Argentina,Mendoza,13.5%,75cl
64,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Alepa_PrivoRosso_Campania2018TheGoodWineShop_1024x1024.jpg?v=1660569073,"Alepa, Privo Rosso, Campania 2018",32.00,Red ,Cabernet Sauvignon,Italy,Campania,14%,75cl
65,//cdn.shopify.com/s/files/1/0097/8128/0834/products/ChateauThivin_GamayNoirVignesd_Ecussol2020TheGoodWineShop_1024x1024.jpg?v=1660212628,"Chateau Thivin, Gamay Noir Vignes d'Ecussol 2019",17.00,Red ,Gamay,France,Beaujolais,13%,75cl
66,//cdn.shopify.com/s/files/1/0097/8128/0834/products/FrancoisMikulski_BourgogneAligote2019TheGoodWineShop_1024x1024.jpg?v=1660209519,"Francois Mikulski, Bourgogne Aligote 2019",30.00,White ,Aligote,France,Burgundy,12.5%,75cl
67,//cdn.shopify.com/s/files/1/0097/8128/0834/products/Moissenet-Bonnard_PommardLesCras2018TheGoodWineShop_1024x1024.jpg?v=1660136340,"Moissenet-Bonnard, Pommard Les Cras 2018",54.00,Red ,Pinot Noir,France,Burgundy,13%,75cl
68,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineEricForest_Pouilly-FuisseLesCrays2015TheGoodWineShop_1024x1024.jpg?v=1660125059,"Domaine Eric Forest, Pouilly-Fuisse Les Crays 2015",38.00,White ,Chardonnay,France,Burgundy,14%,75cl
69,//cdn.shopify.com/s/files/1/0097/8128/0834/products/DomaineEmmanuelRouget_Savigny-Les-Beaune2018TheGoodWineShop_1024x1024.jpg?v=1660043820,"Domaine Emmanuel Rouget, Savigny- Les- Beaune 2018",195.00,Red ,Pinot Noir,France,Burgundy,13%,75cl
